Name,Codename,Cores,Clock,Socket,Process,L3 Cache,TDP,Released
A8-9600,Bristol Ridge,4,3.1 to 3.4 GHz,Socket AM4,28 nm,N/A,65 W,"Jul 27th, 2017"
Athlon X4 940,Bristol Ridge,4,3.2 to 3.6 GHz,Socket AM4,28 nm,N/A,65 W,"Jul 27th, 2017"
Athlon X4 950,Bristol Ridge,4,3.5 to 3.8 GHz,Socket AM4,28 nm,N/A,65 W,"Jul 27th, 2017"
Athlon X4 970,Bristol Ridge,4,3.8 to 4 GHz,Socket AM4,28 nm,N/A,65 W,"Jul 27th, 2017"
EPYC 7251,Naples,Aug-16,2.1 to 2.9 GHz,Socket TR4,14 nm,32MB,120 W,"Jun 29th, 2017"
EPYC 7281,Naples,16  / 32,2.1 to 2.7 GHz,Socket TR4,14 nm,32MB,170 W,"Jun 29th, 2017"
EPYC 7301,Naples,16  / 32,2.2 to 2.7 GHz,Socket TR4,14 nm,64MB,170 W,"Jun 29th, 2017"
EPYC 7351,Naples,16  / 32,2.4 to 2.9 GHz,Socket TR4,14 nm,64MB,170 W,"Jun 29th, 2017"
EPYC 7351P,Naples,16  / 32,2.4 to 2.9 GHz,Socket TR4,14 nm,64MB,170 W,"Jun 29th, 2017"
EPYC 7401,Naples,24  / 48,2 to 3 GHz,Socket TR4,14 nm,64MB,170 W,"Jun 29th, 2017"
EPYC 7401P,Naples,24  / 48,2 to 3 GHz,Socket TR4,14 nm,64MB,170 W,"Jun 29th, 2017"
EPYC 7451,Naples,24  / 48,2.3 to 3.2 GHz,Socket TR4,14 nm,64MB,180 W,"Jun 29th, 2017"
EPYC 7501,Naples,32  / 64,2 to 3 GHz,Socket TR4,14 nm,64MB,170 W,"Jun 29th, 2017"
EPYC 7551,Naples,32  / 64,2 to 3 GHz,Socket TR4,14 nm,64MB,180 W,"Jun 29th, 2017"
EPYC 7551P,Naples,32  / 64,2 to 3 GHz,Socket TR4,14 nm,64MB,180 W,"Jun 29th, 2017"
EPYC 7601,Naples,32  / 64,2.2 to 3.2 GHz,Socket TR4,14 nm,64MB,180 W,"Jun 29th, 2017"
Ryzen 3 1200,Zen,4,3.1 to 3.4 GHz,Socket AM4,14 nm,8MB,65 W,"Jul 27th, 2017"
Ryzen 3 1300,Zen,4,3.2 to 3.5 GHz,Socket AM4,14 nm,8MB,65 W,"Apr 11th, 2017"
Ryzen 3 1300X,Zen,4,3.4 to 3.7 GHz,Socket AM4,14 nm,8MB,65 W,"Jul 27th, 2017"
Ryzen 3 2200U,Raven Ridge,02-Apr,2.5 to 3.4 GHz,Socket FP5,14 nm,4MB,15 W,"Oct 26th, 2017"
Ryzen 3 2300U,Raven Ridge,4,2 to 3.4 GHz,Socket FP5,14 nm,4MB,15 W,"Oct 26th, 2017"
Ryzen 3 PRO 1200,Zen,4,3.1 to 3.4 GHz,Socket AM4,14 nm,8MB,65 W,"Jun 29th, 2017"
Ryzen 3 PRO 1300,Zen,4,3.2 to 3.5 GHz,Socket AM4,14 nm,8MB,65 W,"Jun 29th, 2017"
