Name,Codename,Cores,Clock,Socket,Process,L3 Cache,TDP,Released
Pentium D 920,Presler,2 ,2.8 GHz,Socket 775,65 nm,N/A,130 W,"Jan 16th, 2006"
Pentium D 925,Presler,2 ,3 GHz,Socket 775,65 nm,N/A,95 W,"Oct 1st, 2006"
Pentium D 930,Presler,2 ,3 GHz,Socket 775,65 nm,N/A,130 W,"Jan 16th, 2006"
Pentium D 940,Presler,2 ,3.2 GHz,Socket 775,65 nm,N/A,130 W,"Jan 16th, 2006"
Pentium D 945,Presler,2 ,3.4 GHz,Socket 775,65 nm,N/A,95 W,"Jul 23rd, 2006"
Pentium D 950,Presler,2 ,3.4 GHz,Socket 775,65 nm,N/A,130 W,"Jan 16th, 2006"
Pentium D 955 EE,Presler,2  / 4,3.46 GHz,Socket 775,65 nm,N/A,130 W,"Jan 16th, 2006"
Pentium D 960,Presler,2 ,3.6 GHz,Socket 775,65 nm,N/A,130 W,"May 2nd, 2006"
Pentium D 965 EE,Presler,2  / 4,3.73 GHz,Socket 775,65 nm,N/A,130 W,"Mar 26th, 2006"
Xeon 5030,Dempsey,2  / 4,2.667 GHz,Socket 771,65 nm,N/A,95 W,"May 23rd, 2006"
Xeon 5040,Dempsey,2  / 4,2.83 GHz,Socket 771,65 nm,N/A,95 W,"May 23rd, 2006"
Xeon 5050,Dempsey,2  / 4,3 GHz,Socket 771,65 nm,N/A,95 W,"May 23rd, 2006"
Xeon 5060,Dempsey,2  / 4,3.2 GHz,Socket 771,65 nm,N/A,130 W,"May 23rd, 2006"
Xeon 5063,Dempsey,2  / 4,3.2 GHz,Socket 771,65 nm,N/A,95 W,"May 23rd, 2006"
Xeon 5080,Dempsey,2  / 4,3.73 GHz,Socket 771,65 nm,N/A,130 W,"May 23rd, 2006"
Xeon 5110,Woodcrest,2 ,1600 MHz,Socket 771,65 nm,N/A,65 W,"Jun 26th, 2006"
Xeon 5120,Woodcrest,2 ,1866 MHz,Socket 771,65 nm,N/A,65 W,"Jun 26th, 2006"
Xeon 5130,Woodcrest,2 ,2000 MHz,Socket 771,65 nm,N/A,65 W,"Jun 26th, 2006"
Xeon 5140,Woodcrest,2 ,2.333 GHz,Socket 771,65 nm,N/A,65 W,"Jun 26th, 2006"
Xeon 5148,Woodcrest,2 ,2.333 GHz,Socket 771,65 nm,N/A,40 W,"Jun 26th, 2006"
